"Points:0","Points:1","Points:2","forces:0","forces:1","forces:2","radii","GlyphVector:0","GlyphVector:1","GlyphVector:2","Normals:0","Normals:1","Normals:2"
11.489,1.947,0.58639,-0.00011315,-0.0018868,0,2.95,9.1024,2.95,2,0.80918,-0.34,-0.47919
11.744,1.647,1.8389,-0.00011315,-0.0018868,0,2.95,9.1024,2.95,2,0.89549,-0.44171,-0.054611
11.475,1.605,3.1233,-0.00011315,-0.0018868,0,2.95,9.1024,2.95,2,0.80444,-0.45594,0.38078
10.737,1.8294,4.1852,-0.00011315,-0.0018868,0,2.95,9.1024,2.95,2,0.55406,-0.37986,0.74076
9.6745,2.2758,4.8144,-0.00011315,-0.0018868,0,2.95,9.1024,2.95,2,0.19393,-0.22855,0.95402
10.032,1.8154,-0.55932,-0.00011315,-0.0018868,0,2.95,9.1024,2.95,2,0.31527,-0.38462,-0.86757
10.175,0.81117,0.27432,-0.00011315,-0.0018868,0,2.95,9.1024,2.95,2,0.36351,-0.72503,-0.58498
10.105,0.23058,1.4497,-0.00011315,-0.0018868,0,2.95,9.1024,2.95,2,0.33974,-0.92184,-0.18653
9.836,0.18861,2.7342,-0.00011315,-0.0018868,0,2.95,9.1024,2.95,2,0.24869,-0.93607,0.24887
9.4221,0.69356,3.8732,-0.00011315,-0.0018868,0,2.95,9.1024,2.95,2,0.10838,-0.7649,0.63497
8.9449,1.6454,4.6412,-0.00011315,-0.0018868,0,2.95,9.1024,2.95,2,-0.053398,-0.44223,0.89531
9.0765,1.8995,-0.75648,-0.00011315,-0.0018868,0,2.95,9.1024,2.95,2,-0.0087595,-0.35611,-0.9344
8.4523,0.96268,-0.080956,-0.00011315,-0.0018868,0,2.95,9.1024,2.95,2,-0.22038,-0.67367,-0.70541
7.9567,0.4195,1.0067,-0.00011315,-0.0018868,0,2.95,9.1024,2.95,2,-0.38836,-0.85779,-0.3367
7.6881,0.37753,2.2911,-0.00011315,-0.0018868,0,2.95,9.1024,2.95,2,-0.47941,-0.87202,0.098693
7.6996,0.84506,3.5179,-0.00011315,-0.0018868,0,2.95,9.1024,2.95,2,-0.47551,-0.71354,0.51454
7.989,1.7295,4.444,-0.00011315,-0.0018868,0,2.95,9.1024,2.95,2,-0.37743,-0.41373,0.82848
8.4543,2.6487,-0.86212,-0.00011315,-0.0018868,0,2.95,9.1024,2.95,2,-0.21968,-0.10213,-0.97021
7.3311,2.3128,-0.27131,-0.00011315,-0.0018868,0,2.95,9.1024,2.95,2,-0.60045,-0.21601,-0.76994
6.5586,2.1031,0.76936,-0.00011315,-0.0018868,0,2.95,9.1024,2.95,2,-0.86229,-0.2871,-0.41717
6.29,2.0611,2.0538,-0.00011315,-0.0018868,0,2.95,9.1024,2.95,2,-0.95335,-0.30133,0.018229
6.5784,2.1952,3.3275,-0.00011315,-0.0018868,0,2.95,9.1024,2.95,2,-0.85558,-0.25588,0.45001
7.3667,2.4788,4.3384,-0.00011315,-0.0018868,0,2.95,9.1024,2.95,2,-0.58835,-0.15974,0.79267
8.5303,3.6242,-0.81436,-0.00011315,-0.0018868,0,2.95,9.1024,2.95,2,-0.19393,0.22855,-0.95402
7.4679,4.0706,-0.18524,-0.00011315,-0.0018868,0,2.95,9.1024,2.95,2,-0.55406,0.37986,-0.74076
6.7293,4.295,0.87669,-0.00011315,-0.0018868,0,2.95,9.1024,2.95,2,-0.80444,0.45594,-0.38078
6.4607,4.253,2.1611,-0.00011315,-0.0018868,0,2.95,9.1024,2.95,2,-0.89549,0.44171,0.054611
6.7153,3.953,3.4136,-0.00011315,-0.0018868,0,2.95,9.1024,2.95,2,-0.80918,0.34,0.47919
7.4427,3.4543,4.3861,-0.00011315,-0.0018868,0,2.95,9.1024,2.95,2,-0.56261,0.17094,0.80886
9.2599,4.2546,-0.64117,-0.00011315,-0.0018868,0,2.95,9.1024,2.95,2,0.053398,0.44223,-0.89531
8.7827,5.2064,0.12683,-0.00011315,-0.0018868,0,2.95,9.1024,2.95,2,-0.10838,0.7649,-0.63497
8.3688,5.7114,1.2658,-0.00011315,-0.0018868,0,2.95,9.1024,2.95,2,-0.24869,0.93607,-0.24887
8.1001,5.6694,2.5503,-0.00011315,-0.0018868,0,2.95,9.1024,2.95,2,-0.33974,0.92184,0.18653
8.03,5.0888,3.7257,-0.00011315,-0.0018868,0,2.95,9.1024,2.95,2,-0.36351,0.72503,0.58498
8.1723,4.0846,4.5593,-0.00011315,-0.0018868,0,2.95,9.1024,2.95,2,-0.31527,0.38462,0.86757
10.216,4.1705,-0.44401,-0.00011315,-0.0018868,0,2.95,9.1024,2.95,2,0.37743,0.41373,-0.82848
10.505,5.0549,0.4821,-0.00011315,-0.0018868,0,2.95,9.1024,2.95,2,0.47551,0.71354,-0.51454
10.517,5.5225,1.7089,-0.00011315,-0.0018868,0,2.95,9.1024,2.95,2,0.47941,0.87202,-0.098693
10.248,5.4805,2.9933,-0.00011315,-0.0018868,0,2.95,9.1024,2.95,2,0.38836,0.85779,0.3367
9.7525,4.9373,4.081,-0.00011315,-0.0018868,0,2.95,9.1024,2.95,2,0.22038,0.67367,0.70541
9.1282,4.0005,4.7565,-0.00011315,-0.0018868,0,2.95,9.1024,2.95,2,0.0087595,0.35611,0.9344
